Stock Name,Basic industry,Index,Sector
SAMPAT,Aluminium,,
ALUWIND,Aluminium,,
AMCL,Aluminium,,
ARFIN,Aluminium,NA,Metals & Mining
BAHETI,Aluminium,,
CENTEXT,Aluminium,NA,Metals & Mining
CUBEXTUB,Aluminium,NA,Metals & Mining
EUROBOND,Aluminium,NA,Metals & Mining
HINDALCO,Aluminium,"NIFTY 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY METAL",Metals & Mining
JAINIK,Aluminium,,
MAANALU,Aluminium,NA,Metals & Mining
MANAKALUCO,Aluminium,NA,Metals & Mining
MCL,Aluminium,NA,Capital Goods
MMP,Aluminium,NA,Metals & Mining
NATIONALUM,Aluminium,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500,NIFTY METAL",Metals & Mining
PRECWIRE,Aluminium,NA,Capital Goods
RAJINDLTD,Aluminium,,
RAJMET,Aluminium,NA,Metals & Mining
SAGARDEEP,Aluminium,NA,Metals & Mining
SHERA,Aluminium,,
SUNLITE,Aluminium,,
SOUTHMG,Amusement Parks/ Other Recreation,,
AJWAFUN,Amusement Parks/ Other Recreation,,
NICCOPAR,Amusement Parks/ Other Recreation,,
DELTACORP,Amusement Parks/ Other Recreation,NIFTY MICROCAP 250,Consumer Durables
IMAGICAA,Amusement Parks/ Other Recreation,NIFTY MICROCAP 250,Consumer Services
WONDERLA,Amusement Parks/ Other Recreation,NIFTY MICROCAP 250,Consumer Services
KSE,Animal Feed,,
FORBESCO,Animal Feed,,
SHIVAM,Animal Feed,,
AJOONI,Animal Feed,NA,FMCG
AVANTIFEED,Animal Feed,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",FMCG
GODREJAGRO,Animal Feed,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",FMCG
MUKKA,Animal Feed,NA,FMCG
NARMADA,Animal Feed,NA,FMCG
GAMCO,Asset Management Company,,
ABSLAMC,Asset Management Company,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Financial Services
HDFCAMC,Asset Management Company,"NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY FINANCIAL SERVICES",Financial Services
IVC,Asset Management Company,NA,Financial Services
NAM-INDIA,Asset Management Company,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Financial Services
UTIAMC,Asset Management Company,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Financial Services
ARE&M,Auto Components & Equipments,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Auto
ASAHIINDIA,Auto Components & Equipments,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Auto
ASKAUTOLTD,Auto Components & Equipments,NIFTY MICROCAP 250,Auto
BANCOINDIA,Auto Components & Equipments,NIFTY MICROCAP 250,Auto
BELRISE,Auto Components & Equipments,NA,Auto
BHARATFORG,Auto Components & Equipments,"NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Metals & Mining
BOSCHLTD,Auto Components & Equipments,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Auto
CIEINDIA,Auto Components & Equipments,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Auto
CRAFTSMAN,Auto Components & Equipments,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Capital Goods
