stock_name,symbol,industry,index,sector
Prec. Wires (I),PRECWIRE,Aluminium,NA,Capital Goods
Rajputana Indu.,RAJINDLTD,Aluminium,,
Rajnandini Metal,RAJMET,Aluminium,NA,Metals & Mining
Sagardeep Alloys,SAGARDEEP,Aluminium,NA,Metals & Mining
Shera Energy,SHERA,Aluminium,,
Sunlite Recycli.,SUNLITE,Aluminium,,
South Asian Ent.,SOUTHMG,Amusement Parks/ Other Recreation,,
Ajwa Fun World,AJWAFUN,Amusement Parks/ Other Recreation,,
Nicco Parks,NICCOPAR,Amusement Parks/ Other Recreation,,
Delta Corp,DELTACORP,Amusement Parks/ Other Recreation,NIFTY MICROCAP 250,Consumer Durables
Imagica. Enter.,IMAGICAA,Amusement Parks/ Other Recreation,NIFTY MICROCAP 250,Consumer Services
Wonderla Holiday,WONDERLA,Amusement Parks/ Other Recreation,NIFTY MICROCAP 250,Consumer Services
KSE,KSE,Animal Feed,,
Mayank Cattle Fo,FORBESCO,Animal Feed,,
Shivam Chemicals,SHIVAM,Animal Feed,,
Ajooni Biotech,AJOONI,Animal Feed,NA,FMCG
Avanti Feeds,AVANTIFEED,Animal Feed,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",FMCG
Godrej Agrovet,GODREJAGRO,Animal Feed,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",FMCG
Mukka Proteins,MUKKA,Animal Feed,NA,FMCG
Narmada Agrobase,NARMADA,Animal Feed,NA,FMCG
Shriram AMC,GAMCO,Asset Management Company,,
Aditya AMC,ABSLAMC,Asset Management Company,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Financial Services
HDFC AMC,HDFCAMC,Asset Management Company,"NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY FINANCIAL SERVICES",Financial Services
