stock_name,symbol,industry,company_id,status
Fusion Finance,FUSION,Microfinance Institutions,,failed
Muthoot Microfin,MUTHOOTMF,Microfinance Institutions,,failed
Satin Creditcare,SATIN,Microfinance Institutions,,failed
Spandana Sphoort,SPANDANA,Microfinance Institutions,,failed
Rajesh Power,RAJESH,Multi Utilities,,failed
Bengal & Assam,BENGALASM,Non Banking Financial Company (NBFC),,failed
Authum Invest,AIIL,Non Banking Financial Company (NBFC),,failed
Bajaj Finance,BAJFINANCE,Non Banking Financial Company (NBFC),,failed
Capri Global,CGCL,Non Banking Financial Company (NBFC),,failed
Cholaman.Inv.&Fn,CHOLAFIN,Non Banking Financial Company (NBFC),,failed
Fedbank Financi.,FEDFINA,Non Banking Financial Company (NBFC),,failed
Five-Star Bus.Fi,FIVESTAR,Non Banking Financial Company (NBFC),,failed
HDB FINANC SER,HDBFS,Non Banking Financial Company (NBFC),,failed
IIFL Finance,IIFL,Non Banking Financial Company (NBFC),,failed
Indostar Capital,INDOSTAR,Non Banking Financial Company (NBFC),,failed
L&T Finance Ltd,LTF,Non Banking Financial Company (NBFC),,failed
M & M Fin. Serv.,M&MFIN,Non Banking Financial Company (NBFC),,failed
Manappuram Fin.,MANAPPURAM,Non Banking Financial Company (NBFC),,failed
MAS FINANC SER,MASFIN,Non Banking Financial Company (NBFC),,failed
Muthoot Finance,MUTHOOTFIN,Non Banking Financial Company (NBFC),,failed
Northern ARC,NORTHARC,Non Banking Financial Company (NBFC),,failed
Paisalo Digital,PAISALO,Non Banking Financial Company (NBFC),,failed
Piramal Enterp.,PEL,Non Banking Financial Company (NBFC),,failed
PTC India Fin,PFS,Non Banking Financial Company (NBFC),,failed
Poonawalla Fin,POONAWALLA,Non Banking Financial Company (NBFC),,failed
SBFC Finance,SBFC,Non Banking Financial Company (NBFC),,failed
SBI Cards,SBICARD,Non Banking Financial Company (NBFC),,failed
Shriram Finance,SHRIRAMFIN,Non Banking Financial Company (NBFC),,failed
Sundaram Finance,SUNDARMFIN,Non Banking Financial Company (NBFC),,failed
Ugro Capital,UGROCAP,Non Banking Financial Company (NBFC),,failed
Aakash Explor.,AAKASH,Offshore Support Solution Drilling,,failed
Aban Offshore,ABAN,Offshore Support Solution Drilling,,failed
Alphageo (India),ALPHAGEO,Offshore Support Solution Drilling,,failed
Dolphin Offshore,DOLPHIN,Offshore Support Solution Drilling,,failed
Jindal Drilling,JINDRILL,Offshore Support Solution Drilling,,failed
DHP India,ADCINDIA,Oil Equipment & Services,,failed
Duke Offshore,DUKEOFS,Oil Equipment & Services,,failed
Asian Energy,ASIANENE,Oil Equipment & Services,,failed
Deep Industries,DEEPINDS,Oil Equipment & Services,,failed
Oil Country,OILCOUNTUB,Oil Equipment & Services,,failed
Antelopus Selan,ANTELOPUS,Oil Exploration & Production,,failed
Hind.Oil Explor.,HINDOILEXP,Oil Exploration & Production,,failed
Oil India,OIL,Oil Exploration & Production,,failed
O N G C,ONGC,Oil Exploration & Production,,failed
Prabha Energy,PRABHA,Oil Exploration & Production,,failed
Repono,REPONO,Oil Storage & Transportation,,failed
Aegis Vopak Term,AEGISVOPAK,Oil Storage & Transportation,,failed
Ganesh Benzopl.,GANESHBE,Oil Storage & Transportation,,failed
Modi Naturals,MODIS,Other Agricultural Products,,failed
JK Agri Genetics,JKAGRI,Other Agricultural Products,,failed
Prime Fresh,PRIMEFRESH,Other Agricultural Products,,failed
Sayaji Industr,SAYAJIHOTL,Other Agricultural Products,,failed
Tierra Agrotech,TIERRA,Other Agricultural Products,,failed
AVT Natural Prod,AVTNPL,Other Agricultural Products,,failed
Bombay Super Hyb,BSHSL,Other Agricultural Products,,failed
Chamanlal Setia,CLSEL,Other Agricultural Products,,failed
Guj. Ambuja Exp,GAEL,Other Agricultural Products,,failed
GRM Overseas,GRMOVER,Other Agricultural Products,,failed
Gulshan Polyols,GULPOLY,Other Agricultural Products,,failed
Indo US Bio-Tech,INDOUS,Other Agricultural Products,,failed
KCK Industries,KCK,Other Agricultural Products,,failed
KRBL,KRBL,Other Agricultural Products,,failed
Kaveri Seed Co.,KSCL,Other Agricultural Products,,failed
L T Foods,LTFOODS,Other Agricultural Products,,failed
Mangalam Global,MGEL,Other Agricultural Products,,failed
Nath Bio-Genes,NATHBIOGEN,Other Agricultural Products,,failed
Regaal Resources,REGAAL,Other Agricultural Products,,failed
Sanstar,SANSTAR,Other Agricultural Products,,failed
Sarveshwar Foods,SARVESHWAR,Other Agricultural Products,,failed
Sawaliya Food,SAWALIYA,Other Agricultural Products,,failed
Sukhjit Starch,SUKHJITS,Other Agricultural Products,,failed
Upsurge Seeds,USASEEDS,Other Agricultural Products,,failed
AU Small Finance,AUBANK,Other Bank,,failed
Capital Small,CAPITALSFB,Other Bank,,failed
Equitas Sma. Fin,EQUITASBNK,Other Bank,,failed
ESAF Small Fin,ESAFSFB,Other Bank,,failed
Fino Payments,FINOPB,Other Bank,,failed
Jana Small Finan,JSFB,Other Bank,,failed
Suryoday Small,SURYODAY,Other Bank,,failed
Ujjivan Small,UJJIVANSFB,Other Bank,,failed
Utkarsh Small F.,UTKARSHBNK,Other Bank,,failed
Transglobe Foods,ANJANIFOODS,Other Beverages,,failed
ANS Industries,SANSTAR,Other Beverages,,failed
Valencia Nutrit.,VALENCIA,Other Beverages,,failed
Varun Beverages,VBL,Other Beverages,,failed
21st Cent. Mgmt.,21STCENMGM,Other Capital Market related Services,,failed
Quest Capital,QUESTCAP,Other Capital Market related Services,,failed
Mefcom Capital,MEFCOMCAP,Other Capital Market related Services,,failed
Interactive Fin,HARAFIN,Other Capital Market related Services,,failed
Gretex Corporate,GCSL,Other Capital Market related Services,,failed
Lerthai Finance,LERTHAI,Other Construction Materials,,failed
Godrej Agrovet,GODREJAGRO,Animal Feed,,failed
Mukka Proteins,MUKKA,Animal Feed,,failed
Narmada Agrobase,NARMADA,Animal Feed,,failed
Shriram AMC,GAMCO,Asset Management Company,,failed
Aditya AMC,ABSLAMC,Asset Management Company,,failed
HDFC AMC,HDFCAMC,Asset Management Company,,failed
IL&FS Inv.Manag.,IVC,Asset Management Company,,failed
Nippon Life Ind.,NAM-INDIA,Asset Management Company,,failed
UTI AMC,UTIAMC,Asset Management Company,,failed
Amara Raja Ener.,ARE&M,Auto Components & Equipments,,failed
Asahi India Glas,ASAHIINDIA,Auto Components & Equipments,,failed
ASK Automotive,ASKAUTOLTD,Auto Components & Equipments,,failed
Banco Products,BANCOINDIA,Auto Components & Equipments,,failed
Belrise Industri,BELRISE,Auto Components & Equipments,,failed
Bharat Forge,BHARATFORG,Auto Components & Equipments,,failed
Bosch,BOSCHLTD,Auto Components & Equipments,,failed
CIE Automotive,CIEINDIA,Auto Components & Equipments,,failed
Craftsman Auto,CRAFTSMAN,Auto Components & Equipments,,failed
Endurance Tech.,ENDURANCE,Auto Components & Equipments,,failed
Exide Inds.,EXIDEIND,Auto Components & Equipments,,failed
Gabriel India,GABRIEL,Auto Components & Equipments,,failed
JBM Auto,JBMA,Auto Components & Equipments,,failed
Minda Corp,MINDACORP,Auto Components & Equipments,,failed
Samvardh. Mothe.,MOTHERSON,Auto Components & Equipments,,failed
Motherson Wiring,MSUMI,Auto Components & Equipments,,failed
Ramkrishna Forg.,RKFORGE,Auto Components & Equipments,,failed
Schaeffler India,SCHAEFFLER,Auto Components & Equipments,,failed
Shriram Pistons,SHRIPISTON,Auto Components & Equipments,,failed
Sona BLW Precis.,SONACOMS,Auto Components & Equipments,,failed
Sundram Fasten.,SUNDRMFAST,Auto Components & Equipments,,failed
Tube Investments,TIINDIA,Auto Components & Equipments,,failed
Uno Minda,UNOMINDA,Auto Components & Equipments,,failed
Varroc Engineer,VARROC,Auto Components & Equipments,,failed
ZF Commercial,ZFCVINDIA,Auto Components & Equipments,,failed
Competent Auto,GGAUTO,Auto Dealer,,failed
Naksh Precious,TEJNAKSH,Auto Dealer,,failed
Resourceful Auto,GGAUTO,Auto Dealer,,failed
Bikewo Green,BIKEWO,Auto Dealer,,failed
Landmark Cars,LANDMARK,Auto Dealer,,failed
Popular Vehicles,PVSL,Auto Dealer,,failed
Vivo Bio Tech,VIVOBIOT,Biotechnology,,failed
Shree Ganesh Bio,3BBLACKBIO,Biotechnology,,failed
Advanced Enzyme,ADVENZYMES,Biotechnology,,failed
Anthem Bioscienc,ANTHEM,Biotechnology,,failed
Cupid Breweries,CUPIDALBV,Breweries & Distilleries,,failed
Tahmar Enterp.,TAHMARENT,Breweries & Distilleries,,failed
Shri Gang Indus,SHRIGANG,Breweries & Distilleries,,failed
Suraj Industries,SURAJ,Breweries & Distilleries,,failed
FratelliVineyard,FRATELLI,Breweries & Distilleries,,failed
Monika Alcobev,MONIKA,Breweries & Distilleries,,failed
Allied Blenders,ABDL,Breweries & Distilleries,,failed
Assoc.Alcohols,ASALCBR,Breweries & Distilleries,,failed
Aurangabad Dist.,AURDIS,Breweries & Distilleries,,failed
BCL Industries,BCLIND,Breweries & Distilleries,,failed
Globus Spirits,GLOBUSSPR,Breweries & Distilleries,,failed
G M Breweries,GMBREW,Breweries & Distilleries,,failed
IFB Agro Inds.,IFBAGRO,Breweries & Distilleries,,failed
India Glycols,INDIAGLYCO,Breweries & Distilleries,,failed
Piccadily Agro,PICCADIL,Breweries & Distilleries,,failed
Radico Khaitan,RADICO,Breweries & Distilleries,,failed
Som Distilleries,SDBL,Breweries & Distilleries,,failed
Sula Vineyards,SULA,Breweries & Distilleries,,failed
Tilaknagar Inds.,TI,Breweries & Distilleries,,failed
United Breweries,UBL,Breweries & Distilleries,,failed
United Spirits,UNITDSPR,Breweries & Distilleries,,failed
BNR Udyog,BNRUDY,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,failed
Alldigi Tech,ALLDIGI,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,failed
Cadsys (India),CADSYS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,failed
eClerx Services,ECLERX,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,failed
Firstsour.Solu.,FSL,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,failed
Hinduja Global,HGS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,failed
HRH Next,HRHNEXT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,failed
Kandarp Digi,KANDARP,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,failed
One Point One,ONEPOINT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,failed
Plada Infotech S,PLADAINFO,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,failed
RPSG Ventures,RPSGVENT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,failed
We Win Ltd,WEWIN,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,failed
Ultracab India,ADCINDIA,Cables - Electricals,,failed
Advait Energy,ENERGYINF,Cables - Electricals,,failed
JD Cables,JDCABLES,Cables - Electricals,,failed
Systematic Inds.,SYSTEMATIC,Cables - Electricals,,failed
B.C. Power,BCP,Cables - Electricals,,failed
Bhadora Indust.,BHADORA,Cables - Electricals,,failed
CMI,CMICABLES,Cables - Electricals,,failed
Cords Cable,CORDSCABLE,Cables - Electricals,,failed
DCG Cables,DCG,Cables - Electricals,,failed
Divine Power,DPEL,Cables - Electricals,,failed
Dynamic Cables,DYCL,Cables - Electricals,,failed
Finolex Cables,FINCABLES,Cables - Electricals,,failed
KEI Industries,KEI,Cables - Electricals,,failed
Marco Cables,MARCO,Cables - Electricals,,failed
Paramount Comm.,PARACABLES,Cables - Electricals,,failed
Plaza Wires,PLAZACABLE,Cables - Electricals,,failed
Polycab India,POLYCAB,Cables - Electricals,,failed
Prime Cable Ind.,PRIMECAB,Cables - Electricals,,failed
Quadrant Future,QUADFUTURE,Cables - Electricals,,failed
R R Kabel,RRKABEL,Cables - Electricals,,failed
Universal Cables,UNIVCABLES,Cables - Electricals,,failed
V-Marc India,VMARCIND,Cables - Electricals,,failed
Himadri Special,HSCL,Carbon Black,,failed
PCBL Chemical,PCBL,Carbon Black,,failed
Nitin Castings,NITINCAST,Castings & Forgings,,failed
Krishanveer Forg,LGBFORGE,Castings & Forgings,,failed
Smiths & Founder,OROSMITHS,Castings & Forgings,,failed
Gujarat Intrux,GUJARATPOLY,Castings & Forgings,,failed
Magna Electrocas,MAGNAELQ,Castings & Forgings,,failed
Creative Casting,CREATIVE,Castings & Forgings,,failed
Samrat Forgings,SAMRATPH,Castings & Forgings,,failed
Amic Forging,AMIC,Castings & Forgings,,failed
Super Iron,SUPERIRON,Castings & Forgings,,failed
Neetu Yoshi,NEETUYOSHI,Castings & Forgings,,failed
Swastika Castal,SWASTIKA,Castings & Forgings,,failed
Abha Power,ABHAPOWER,Castings & Forgings,,failed
AIA Engineering,AIAENG,Castings & Forgings,,failed
Balu Forge,BALUFORGE,Castings & Forgings,,failed
Uniroyal Marine,ROYAL,Seafood,,failed
Kings Infra,GHVINFRA,Seafood,,failed
Zeal Aqua,ZEAL,Seafood,,failed
Essex Marine,ESSEX,Seafood,,failed
Apex Frozen Food,APEX,Seafood,,failed
Coastal Corporat,COASTCORP,Seafood,,failed
Waterbase,WATERBASE,Seafood,,failed
Hariyana Ship,SHAHISHIP,Ship Building & Allied Services,,failed
Laxmipati Engg,COROENGG,Ship Building & Allied Services,,failed
Cochin Shipyard,COCHINSHIP,Ship Building & Allied Services,,failed
Mazagon Dock,MAZDOCK,Ship Building & Allied Services,,failed
Swan Defence,SWANDEF,Ship Building & Allied Services,,failed
Global Offshore,SVGLOBAL,Shipping,,failed
Datiware Mari.,DATIWARE,Shipping,,failed
Shahi Shipping,SHAHISHIP,Shipping,,failed
ABS Marine,ABSMARINE,Shipping,,failed
Arvind Port &,ARVINDPORT,Shipping,,failed
Essar Shipping,ESSARSHPNG,Shipping,,failed
GE Shipping Co,GESHIP,Shipping,,failed
Sadhav Shipping,SADHAV,Shipping,,failed
S C I,SCI,Shipping,,failed
SEAMEC Ltd,SEAMECLTD,Shipping,,failed
Shreeji Ship. Gl,SHREEJISPG,Shipping,,failed
Transworld Shipp,TRANSWORLD,Shipping,,failed
Silverline Tech,SHILCTECH,Software Products,,failed
Avance Tech.,AVANCE,Software Products,,failed
BITS,BITS,Software Products,,failed
Odyssey Tech.,ODYSSEY,Software Products,,failed
ABM Knowledge,ABMKNO,Software Products,,failed
Ace Soft. Exp.,SHIVACEM,Software Products,,failed
Atishay,ATISHAY,Software Products,,failed
Blue Cloud Soft.,BLUECLOUDS,Software Products,,failed
Lucent Industrie,LUCENT,Software Products,,failed
Aion-Tech Soluti,GOLDTECH,Software Products,,failed
IRIS Business,IRIS,Software Products,,failed
C.E. Info System,MAPMYINDIA,Software Products,,failed
Nucleus Soft.,NUCLEUS,Software Products,,failed
Oracle Fin.Serv.,OFSS,Software Products,,failed
Quick Heal Tech,QUICKHEAL,Software Products,,failed
Ramco Systems,RAMCOSYS,Software Products,,failed
Subex,SUBEXLTD,Software Products,,failed
Tanla Platforms,TANLA,Software Products,,failed
Trust Fintech,TRUST,Software Products,,failed
Unicommerce,UNIECOM,Software Products,,failed
Virtual Galaxy,VGINFOTECH,Software Products,,failed
Virinchi,VIRINCHI,Software Products,,failed
Xelpmoc Design,XELPMOC,Software Products,,failed
7NR Retail Ltd,ISTLTD,Speciality Retail,,failed
Bhatia Communic.,BHATIA,Speciality Retail,,failed
Raconteur Global,SVGLOBAL,Speciality Retail,,failed
City Pulse Multi,MULTIBASE,Speciality Retail,,failed
Mafia Trends,MAFIA,Speciality Retail,,failed
Logica Infoway,LOGICA,Speciality Retail,,failed
Umiya Mobile,UMIYA,Speciality Retail,,failed
Aditya Bir. Fas.,ABFRL,Speciality Retail,,failed
A B Lifestyle,ABLBL,Speciality Retail,,failed
Arvind Fashions.,ARVINDFASN,Speciality Retail,,failed
Aditya Vision,AVL,Speciality Retail,,failed
Brand Concepts,BCONCEPTS,Speciality Retail,,failed
Cell Point,CELLPOINT,Speciality Retail,,failed
Fonebox Retail,FONEBOX,Speciality Retail,,failed
Go Fashion (I),GOCOLORS,Speciality Retail,,failed
Sai Silks,KALAMANDIR,Speciality Retail,,failed
Vedant Fashions,MANYAVAR,Speciality Retail,,failed
Credo Brands,MUFTI,Speciality Retail,,failed
Praxis Home,PRAXIS,Speciality Retail,,failed
Shankara Build.,SHANKARA,Speciality Retail,,failed
Baazar Style,STYLEBAAZA,Speciality Retail,,failed
Trent,TRENT,Speciality Retail,,failed
V2 Retail,V2RETAIL,Speciality Retail,,failed
Elantas Beck,ELANTAS,Specialty Chemicals,,failed
Aarti Industries,AARTIIND,Specialty Chemicals,,failed
Archean Chemical,ACI,Specialty Chemicals,,failed
Aether Industri.,AETHER,Specialty Chemicals,,failed
Alkyl Amines,ALKYLAMINE,Specialty Chemicals,,failed
Anupam Rasayan,ANURAS,Specialty Chemicals,,failed
Atul,ATUL,Specialty Chemicals,,failed
Balaji Amines,BALAMINES,Specialty Chemicals,,failed
BASF India,BASF,Specialty Chemicals,,failed
Camlin Fine,CAMLINFINE,Specialty Chemicals,,failed
Clean Science,CLEAN,Specialty Chemicals,,failed
DDev Plastiks,DDEVPLSTIK,Specialty Chemicals,,failed
Deepak Nitrite,DEEPAKNTR,Specialty Chemicals,,failed
Epigral,EPIGRAL,Specialty Chemicals,,failed
Fine Organic,FINEORG,Specialty Chemicals,,failed
Gujarat Fluoroch,FLUOROCHEM,Specialty Chemicals,,failed
Galaxy Surfact.,GALAXYSURF,Specialty Chemicals,,failed
Jubilant Ingrev.,JUBLINGREA,Specialty Chemicals,,failed
Laxmi Organic,LXCHEM,Specialty Chemicals,,failed
Navin Fluo.Intl.,NAVINFLUOR,Specialty Chemicals,,failed
Neogen Chemicals,NEOGEN,Specialty Chemicals,,failed
Pidilite Inds.,PIDILITIND,Specialty Chemicals,,failed
Privi Speci.,PRIVISCL,Specialty Chemicals,,failed
Styrenix Perfor.,STYRENIX,Specialty Chemicals,,failed
Vinati Organics,VINATIORGA,Specialty Chemicals,,failed
Chaman Metallics,CMNL,Sponge Iron,,failed
KIOCL,KIOCL,Sponge Iron,,failed
S.A.L Steel,SALSTEEL,Sponge Iron,,failed
Shri Hare-Krish.,SHKSIL,Sponge Iron,,failed
Vaswani Industri,VASWANI,Sponge Iron,,failed
Vraj Iron,VRAJ,Sponge Iron,,failed
Gala Global,BENGALASM,Stationary,,failed
Alkosign,ALKOSIGN,Stationary,,failed
Doms Industries,DOMS,Stationary,,failed
Flair Writing,FLAIR,Stationary,,failed
Kokuyo Camlin,KOKUYOCMLN,Stationary,,failed
Linc,LINC,Stationary,,failed
Sundaram Multi.,SUNDARAM,Stationary,,failed
Vasa Retail,VASA,Stationary,,failed
360 ONE,360ONE,Stockbroking & Allied,,failed
Shardul Sec.,SHARDUL,Stockbroking & Allied,,failed
Swastika Investm,SWASTIKA,Stockbroking & Allied,,failed
Pune e,SHPLPUNE,Stockbroking & Allied,,failed
Rikhav Securitie,RIKHAV,Stockbroking & Allied,,failed
5paisa Capital,5PAISA,Stockbroking & Allied,,failed
Dhabriya Poly.,DHABRIYA,Plastic Products - Industrial,,failed
Captain Pipes,CAPPIPES,Plastic Products - Industrial,,failed
Shish Industries,SHISHIND,Plastic Products - Industrial,,failed
Kaka Industries,KAKA,Plastic Products - Industrial,,failed
Apollo Pipes,APOLLOPIPE,Plastic Products - Industrial,,failed
Astral,ASTRAL,Plastic Products - Industrial,,failed
Finolex Inds.,FINPIPE,Plastic Products - Industrial,,failed
Garware Hi Tech,GRWRHITECH,Plastic Products - Industrial,,failed
Jai Corp,JAICORPLTD,Plastic Products - Industrial,,failed
Jain Irrigation,JISLJALEQS,Plastic Products - Industrial,,failed
Kingfa Science,KINGFA,Plastic Products - Industrial,,failed
Kriti Industries,KRITI,Plastic Products - Industrial,,failed
Polysil Irrigati,POLYSIL,Plastic Products - Industrial,,failed
Prakash Pipes,PPL,Plastic Products - Industrial,,failed
Premier Polyfilm,PREMIERPOL,Plastic Products - Industrial,,failed
