stock_name,symbol,industry,url
B.C. Power,BCP,Cables - Electricals,https://www.screener.in/company/BCP/
CMI,CMICABLES,Cables - Electricals,https://www.screener.in/company/CMICABLES/
Himadri Special,HSCL,Carbon Black,https://www.screener.in/company/HSCL/consolidated/
PCBL Chemical,PCBL,Carbon Black,https://www.screener.in/company/PCBL/consolidated/
AIA Engineering,AIAENG,Castings & Forgings,https://www.screener.in/company/AIAENG/consolidated/
Happy Forgings,HAPPYFORGE,Castings & Forgings,https://www.screener.in/company/HAPPYFORGE/
Balu Forge,BALUFORGE,Castings & Forgings,https://www.screener.in/company/BALUFORGE/consolidated/
Steelcast,STEELCAS,Castings & Forgings,https://www.screener.in/company/STEELCAS/
Amic Forging,544037,Castings & Forgings,https://www.screener.in/company/544037/
Nelcast,NELCAST,Castings & Forgings,https://www.screener.in/company/NELCAST/consolidated/
Synergy Green,SGIL,Castings & Forgings,https://www.screener.in/company/SGIL/
Neetu Yoshi,544434,Castings & Forgings,https://www.screener.in/company/544434/consolidated/
Tirupati Forge,TIRUPATIFL,Castings & Forgings,https://www.screener.in/company/TIRUPATIFL/
Inv.& Prec.Cast.,504786,Castings & Forgings,https://www.screener.in/company/504786/consolidated/
Magna Electrocas,517449,Castings & Forgings,https://www.screener.in/company/517449/
Nitin Castings,508875,Castings & Forgings,https://www.screener.in/company/508875/
Kalyani Forge,KALYANIFRG,Castings & Forgings,https://www.screener.in/company/KALYANIFRG/
Krishanveer Forg,513369,Castings & Forgings,https://www.screener.in/company/513369/
Samrat Forgings,543229,Castings & Forgings,https://www.screener.in/company/543229/
Gujarat Intrux,517372,Castings & Forgings,https://www.screener.in/company/517372/
Sharp Chucks and,SCML,Castings & Forgings,https://www.screener.in/company/SCML/
Super Iron,544381,Castings & Forgings,https://www.screener.in/company/544381/
Pattech Fitwell,PATTECH,Castings & Forgings,https://www.screener.in/company/PATTECH/
Hilton Met.Forg.,HILTON,Castings & Forgings,https://www.screener.in/company/HILTON/
Abha Power,ABHAPOWER,Castings & Forgings,https://www.screener.in/company/ABHAPOWER/
Creative Casting,539527,Castings & Forgings,https://www.screener.in/company/539527/
Swastika Castal,544452,Castings & Forgings,https://www.screener.in/company/544452/
Smiths & Founder,513418,Castings & Forgings,https://www.screener.in/company/513418/
Ganga Forging,GANGAFORGE,Castings & Forgings,https://www.screener.in/company/GANGAFORGE/
UltraTech Cem.,ULTRACEMCO,Cement & Cement Products,https://www.screener.in/company/ULTRACEMCO/consolidated/
Grasim Inds,GRASIM,Cement & Cement Products,https://www.screener.in/company/GRASIM/consolidated/
Ambuja Cements,AMBUJACEM,Cement & Cement Products,https://www.screener.in/company/AMBUJACEM/consolidated/
Shree Cement,SHREECEM,Cement & Cement Products,https://www.screener.in/company/SHREECEM/consolidated/
J K Cements,JKCEMENT,Cement & Cement Products,https://www.screener.in/company/JKCEMENT/consolidated/
Dalmia BharatLtd,DALBHARAT,Cement & Cement Products,https://www.screener.in/company/DALBHARAT/consolidated/
ACC,ACC,Cement & Cement Products,https://www.screener.in/company/ACC/consolidated/
The Ramco Cement,RAMCOCEM,Cement & Cement Products,https://www.screener.in/company/RAMCOCEM/consolidated/
JSW Cement,JSWCEMENT,Cement & Cement Products,https://www.screener.in/company/JSWCEMENT/consolidated/
Nuvoco Vistas,NUVOCO,Cement & Cement Products,https://www.screener.in/company/NUVOCO/consolidated/
India Cements,INDIACEM,Cement & Cement Products,https://www.screener.in/company/INDIACEM/consolidated/
JK Lakshmi Cem.,JKLAKSHMI,Cement & Cement Products,https://www.screener.in/company/JKLAKSHMI/consolidated/
Star Cement,STARCEMENT,Cement & Cement Products,https://www.screener.in/company/STARCEMENT/consolidated/
Birla Corpn.,BIRLACORPN,Cement & Cement Products,https://www.screener.in/company/BIRLACORPN/consolidated/
Prism Johnson,PRSMJOHNSN,Cement & Cement Products,https://www.screener.in/company/PRSMJOHNSN/consolidated/
Orient Cement,ORIENTCEM,Cement & Cement Products,https://www.screener.in/company/ORIENTCEM/
Heidelberg Cem.,HEIDELBERG,Cement & Cement Products,https://www.screener.in/company/HEIDELBERG/
