symbol,exchange,name,description,logoid,update_mode,type,typespecs,close,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,free_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector_tr,market,sector,AnalystRating,AnalystRating_tr,exchange_field,full_symbol
CHANDNIMACH,BSE,CHANDNIMACH,Chandni Machines Ltd.,chandni-machines-limited,delayed_streaming_900,stock,['common'],33.5,100,1,false,0,INR,1.0558069381598838,6925,2.121564903036059,,INR,,,,,Producer manufacturing,india,Producer Manufacturing,Neutral,Neutral,BSE,BSE:CHANDNIMACH
NEERAJ,BSE,NEERAJ,Neeraj Paper Marketing Ltd.,neeraj-paper-marketing-limited,delayed_streaming_900,stock,['common'],18.75,100,1,false,0,INR,-0.8461131676361721,236,1.7151162790697447,,INR,,,,,Distribution services,india,Distribution Services,Neutral,Neutral,BSE,BSE:NEERAJ
FRANKLININD,BSE,FRANKLININD,Franklin Industries Ltd,franklin-industries-limited,delayed_streaming_900,stock,['common'],0.89,100,1,false,0,INR,4.70588235294118,11894204,0.4789599548868857,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:FRANKLININD
SRUSTEELS,BSE,SRUSTEELS,SRU Steels Limited,sru-steels-limited,delayed_streaming_900,stock,['common'],4.91,100,1,false,0,INR,0.6147540983606609,26076,0.12176966685657128,,INR,,,,,Distribution services,india,Distribution Services,Neutral,Neutral,BSE,BSE:SRUSTEELS
NDMETAL,BSE,NDMETAL,N.D. Metal Industries Ltd.,ndmetal-industries-ltd,delayed_streaming_900,stock,['common'],86.52,100,1,false,0,INR,0.5111524163568747,1,0.1149425287356322,,INR,,,,,Producer manufacturing,india,Producer Manufacturing,Neutral,Neutral,BSE,BSE:NDMETAL
YASTF,BSE,YASTF,Yash Trading & Finance Ltd.,yash-trading-and-finance-ltd,delayed_streaming_900,stock,['common'],160.5,100,5,false,0,INR,-1.9547953573610193,130,0.056294115099813795,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:YASTF
RACONTEUR,BSE,RACONTEUR,Raconteur Global Resources Limited,raconteur-global-resources-lim,delayed_streaming_900,stock,['common'],12.4,100,1,false,0,INR,-4.688700999231356,4800,0.7692307692307693,,INR,,,,,Consumer services,india,Consumer Services,Neutral,Neutral,BSE,BSE:RACONTEUR
FILTRA,BSE,FILTRA,Filtra Consultants & Engineers Ltd.,filtra-consultants-and-enginee,delayed_streaming_900,stock,['common'],70.95,100,1,false,0,INR,-0.0704225352112636,4000,0.624999999999992,,INR,,,,,Producer manufacturing,india,Producer Manufacturing,Neutral,Neutral,BSE,BSE:FILTRA
SRECR,BSE,SRECR,Sreechem Resins Ltd.,sreechem-resins-ltd,delayed_streaming_900,stock,['common'],31.53,100,1,false,0,INR,-3.13364055299538,1500,1.8518518518518519,,INR,,,,,Non-energy minerals,india,Non-Energy Minerals,Neutral,Neutral,BSE,BSE:SRECR
11MPR,BSE,11MPR,Nippon India Equity Hybrid Fund- Segregated Portfolio 2 Units 2020-MONTHLY DIVIDEND REINVESTMENT,nippon-life-india-asset,delayed_streaming_900,fund,['mutual'],50.75,100,1,false,0,INR,0.19743336623889718,137,0.25665043087298617,,INR,,,,,,india,,Neutral,Neutral,BSE,BSE:11MPR
SKIEL,BSE,SKIEL,SK International Export Limited,sk-international-export-limite,delayed_streaming_900,stock,['common'],22.5,100,1,false,0,INR,4.797391709361906,30000,3.8461538461538463,,INR,,,,,Consumer non-durables,india,Consumer Non-Durables,Neutral,Neutral,BSE,BSE:SKIEL
NMSRESRC,BSE,NMSRESRC,NMS Global Ltd,nms-resources-global-limited,delayed_streaming_900,stock,['common'],69.93,100,1,false,0,INR,3.7229308810442077,7618,0.18747200716616547,,INR,,,,,Distribution services,india,Distribution Services,Neutral,Neutral,BSE,BSE:NMSRESRC
FAMILYCARE,BSE,FAMILYCARE,Family Care Hospitals Ltd.,family-care-hospitals-limited,delayed_streaming_900,stock,['common'],4.46,100,1,false,0,INR,-1.9780219780219748,79454,0.263808054356664,,INR,,,,,Health services,india,Health Services,Neutral,Neutral,BSE,BSE:FAMILYCARE
BSE500IETF,BSE,BSE500IETF,ICICI Prudential BSE 500 ETF,icici-prudential-bank,delayed_streaming_900,fund,['etf'],38.9,100,1,false,0,INR,0.15447991761069815,29371,0.4422011442336646,,INR,,,,,Miscellaneous,india,Miscellaneous,Neutral,Neutral,BSE,BSE:BSE500IETF
PURPLE,BSE,PURPLE,Purple Entertainment Ltd.,purple-entertainment-limited,delayed_streaming_900,stock,['common'],4.6,100,1,false,0,INR,-2.1276595744680966,12080,0.6960409788364361,,INR,,,,,Consumer services,india,Consumer Services,Neutral,Neutral,BSE,BSE:PURPLE
VALENCIA,BSE,VALENCIA,Valencia Nutrition Ltd.,valencia-nutrition-limited,delayed_streaming_900,stock,['common'],77.1,100,1,false,0,INR,4.955077593248027,36000,4.615384615384615,,INR,,,,,Consumer non-durables,india,Consumer Non-Durables,Neutral,Neutral,BSE,BSE:VALENCIA
AVAX,BSE,AVAX,Avax Apparels and Ornaments Limited,avax-apparels-and-ornaments-li,delayed_streaming_900,stock,['common'],125,100,5,false,0,INR,3.8205980066445133,6000,0.9523809523809523,,INR,,,,,Distribution services,india,Distribution Services,Neutral,Neutral,BSE,BSE:AVAX
UTISENSETF,BSE,UTISENSETF,UTI BSE Sensex ETF,uti-asset-management,delayed_streaming_900,fund,['etf'],892.41,100,1,false,0,INR,0.10768971899713081,1104,1.743800347496446,,INR,,,,,Miscellaneous,india,Miscellaneous,Neutral,Neutral,BSE,BSE:UTISENSETF
DHENUBUILD,BSE,DHENUBUILD,Dhenu Buildcon Infra Limited,dhenu-buildcon-infra-ltd,delayed_streaming_900,stock,['common'],6.01,100,1,false,0,INR,1.8644067796610073,30903,7.2426642917408826,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:DHENUBUILD
KLGCAP,BSE,KLGCAP,KLG Capital Services Ltd.,klg-capital-services-ltd,delayed_streaming_900,stock,['common'],17.5,100,1,false,0,INR,0,11768,7.2369472972141935,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:KLGCAP
ALANSCOTT,BSE,ALANSCOTT,Alan Scott Enterprises Ltd.,alan-scott-industries-ltd,delayed_streaming_900,stock,['common'],286.25,100,5,false,0,INR,4.988079955987539,21021,2.948329546410839,,INR,,,,,Retail trade,india,Retail Trade,Neutral,Neutral,BSE,BSE:ALANSCOTT
VOLLF,BSE,VOLLF,Voltaire Leasing & Finance Ltd.,voltaire-leasing-and-finance-ltd,delayed_streaming_900,stock,['common'],12,100,1,false,0,INR,0.755667506297228,502,0.18976336281847736,,INR,,,,,Distribution services,india,Distribution Services,Neutral,Neutral,BSE,BSE:VOLLF
